Vehicle ID,Violation Status,Violation Type,Bus Route ID,Violation Latitude,Violation Longitude,Violation Georeference,period
180ac9ff93ddccd751d7768194e2468746c6fe6f4be8eb378bd4c8a41416598d,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782732,-73.977334,POINT (-73.977334 40.782732),before
79fd6ba601f78abadae3a99d80e0f00e901ce28b3d227edc4ea1abc9f94fe0ac,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.750811,-73.990267,POINT (-73.990267 40.750811),before
de3f40b24e4c5aa450200b1403f658a68957277046120f3f0deabeb175c4a194,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.742711,-73.977426,POINT (-73.977426 40.742711),before
83db169f7e6a2cd6261c8a0a54575c231fa6915054aae445efb2933c7f9d4d43,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.77261,-73.953155,POINT (-73.953155 40.77261),before
aa5a9fc814c55103f199de8981fff022f18a49a3bf9864e85dda4f3d6f7a0347,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.789384,-73.979043,POINT (-73.979043 40.789384),before
adbfc254f6ca9acea53d4e92abc470f0a05aaa28aeb67d939123010987979832,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.788322,-73.981074,POINT (-73.981074 40.788322),before
bbd741865cea4752659c4fdedde5cacfa11ec8f090bc5f70888c6f1d46a953da,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.776278,-73.962036,POINT (-73.962036 40.776278),before
a65192d6d899b1f3d6326b6185190bc4e702969cfe659269ef7880a37c34b46c,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.77172,-73.951193,POINT (-73.951193 40.77172),before
d2b1f230d28ddfc9fdbe29b37a4df83eeb40e4fa0c01a4180e2403509c4220d6,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.771121,-73.949754,POINT (-73.949754 40.771121),before
b58378c32717f3d013d13f129415c1341429fa8fc0c84ccab6249f48b25c0667,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.772156,-73.952392,POINT (-73.952392 40.772156),before
b08e4a8d8d61413c58dd839176a16a39cf8c168a5da748904fecd512e7b66b80,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782703,-73.973321,POINT (-73.973321 40.782703),before
04cb748f258ec4d22dcae451e54b5cb4dad31f3c275d2d02a87d6923d4fa62cd,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.772093,-73.952122,POINT (-73.952122 40.772093),before
48808c78a6fd72c6f23043867f436a0eadb50276d78c7c5bed88bae00839a365,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782345,-73.976443,POINT (-73.976443 40.782345),before
ae5ba2f7701aca9635e6544a8e27ed474b619a40456d2d5fabd8258e0dac72c1,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.772759,-73.95362,POINT (-73.95362 40.772759),before
71479900fc1ac8ed1708b803efe1621c90e806aba6f676e2b416b960ab500008,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.745083,-73.976594,POINT (-73.976594 40.745083),before
1c9a18e50d4fc0eeb84805929de6bcd49cac4c1428da11dd7779c71355918a54,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.750655,-73.989881,POINT (-73.989881 40.750655),before
92ef632642c7f286b0116ce9842e786fe099ba1d56d6e88e96c5a1286e80983c,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.782252,-73.972119,POINT (-73.972119 40.782252),before
56d0003a98a83b0570694d82b0e48ab108811585996aac902120108e4312cc40,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.742853,-73.977383,POINT (-73.977383 40.742853),before
498e783ea9d3b0ce3c7ab734d2cd4d01eca220a8f2628ada6cd6eee8b09038c5,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.782956,-73.977754,POINT (-73.977754 40.782956),before
b3fa4be37f74394e6ff4f6706e525a1cf23280e90730a4d3466baa3f95cded5b,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.772558,-73.953101,POINT (-73.953101 40.772558),before
